Title,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Tanah,Luas Bangunan,Car Port,Price,Timestamp
Dekat Sekolah,Makassar,2,2,1150,1000,0,53000000000,2025-05-15 14:01:37.656854
Siap Huni,Makassar,5,3,225,225,1,2300000000,2025-05-15 14:01:37.657192
Dekat Sekolah,Makassar,4,3,234,222,1,3800000000,2025-05-15 14:01:37.657509
Dekat Sekolah,Makassar,4,4,180,219,1,3150000000,2025-05-15 14:01:37.658059
Full Furnished,Makassar,4,3,135,270,1,2800000000,2025-05-15 14:01:37.658391
Dekat Sekolah,Makassar,4,3,162,198,1,2850000000,2025-05-15 14:01:37.658724
Bebas Banjir,Makassar,3,3,120,120,1,2100000000,2025-05-15 14:01:37.659060
Bebas Banjir,Makassar,2,1,72,36,1,807000000,2025-05-15 14:01:37.659387
Bebas Banjir,Makassar,3,2,90,61,1,1240000000,2025-05-15 14:01:37.659707
Puri Taman sari Toddopuli Makassar,Makassar,2,1,119,36,1,550000000,2025-05-15 14:01:37.660026
Bebas Banjir,Makassar,3,2,60,70,1,950000000,2025-05-15 14:01:37.660350
Dekat Sekolah,Makassar,5,7,760,1000,0,13500000000,2025-05-15 14:01:37.661210
Dekat Sekolah,Makassar,5,4,200,400,0,4900000000,2025-05-15 14:01:37.661523
Dekat Sekolah,Makassar,5,5,240,400,0,5000000000,2025-05-15 14:01:39.984722
Dekat Sekolah,Makassar,4,4,150,250,0,2100000000,2025-05-15 14:01:39.985049
Dekat Tempat Wisata,Makassar,4,4,320,500,0,4000000000,2025-05-15 14:01:39.985411
"Dijual Rumah Tinggal 2 Lantai di Citraland Celebes, Kota Makassar",Makassar,5,4,370,245,6,4500000000,2025-05-15 14:01:39.985770
Full Furnished,Makassar,4,5,200,200,2,8000000000,2025-05-15 14:01:39.986094
DP 0%,Makassar,3,2,80,72,1,865000000,2025-05-15 14:01:39.986435
Dijual Rumah Tua 1 Lantai Jl Sangir Lorong Makassar,Makassar,3,2,107,88,0,800000000,2025-05-15 14:01:39.986701
Bebas Banjir,Makassar,3,3,90,85,2,900000000,2025-05-15 14:01:39.987037
Siap Huni,Makassar,4,3,156,135,1,1750000000,2025-05-15 14:01:39.987374
Full Furnished,Makassar,3,2,135,120,1,1600000000,2025-05-15 14:01:39.987669
"Rumah Bagus SHM di Citraland Tallasa City Makassar, Jl. Jalur Lingkar Barat, Kapasa, Tamalanrea, Kota Makassar, Sulawesi Selatan, Indonesia, 90241, Makassar",Makassar,5,4,300,267,1,6500000000,2025-05-15 14:01:39.987947
Siap Huni,Makassar,2,2,73,45,2,670000000,2025-05-15 14:01:39.988271
Full Furnished,Makassar,5,5,119,200,2,4200000000,2025-05-15 14:01:39.988591
Siap Huni,Makassar,5,5,162,200,2,6500000000,2025-05-15 14:01:39.989086
Siap Huni,Makassar,3,2,75,70,1,850000000,2025-05-15 14:01:39.989651
Full Furnished,Makassar,5,5,211,208,2,2500000000,2025-05-15 14:01:39.990010
Rumah Bagus Di Grand Orchard di Makassar SHM,Makassar,3,2,105,140,2,1500000000,2025-05-15 14:01:39.990295
Rumah Pusat Kota Gunung Nona Makassar,Makassar,3,2,260,150,1,4000000000,2025-05-15 14:01:39.990621
Siap Huni,Makassar,2,2,70,75,1,850000000,2025-05-15 14:01:39.991178
Rumah 2lantai Shm Jl Balana Makassar,Makassar,4,2,162,400,2,2000000000,2025-05-15 14:01:39.991480
Dijual Runah 2 Lt Siap.huni.jl.comgajah,Makassar,4,4,200,245,1,5000000000,2025-05-15 14:01:42.400787
Dijual Rumah Siap.pakai.mrwah Di Jl.cepa,Makassar,5,4,251,535,1,4500000000,2025-05-15 14:01:42.401044
RUMAH ANGING MAMMIRI HERTASNING LAMA. 9x16. POSISI DEPAN TAMAN. 4 KAMAR TIDUR.,Makassar,4,2,144,70,1,1100000000,2025-05-15 14:01:42.401339
